name,brand,price,cpu,gpu,ram_gb,storage_gb,storage_type,display_inch,resolution,weight_kg,os,rating,review_count,url,scraped_at,source
"Apple MacBook Pro 14"", mit 14.2 Zoll Display, Apple M3 Max Prozessor, 16 GB RAM, 128 GB SSD, Apple GPU (10-core), macOS",Apple,1538.91,Apple M3 Max,Apple GPU (10-core),16,128,SSD,14.2,3024x1964,2.97,macOS,4.8,45,,2026-06-15,synthetic
"HP ProBook 450, mit 13.6 Zoll Display, AMD Ryzen 5 7530U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4080, Linux",HP,1664.6,AMD Ryzen 5 7530U,NVIDIA GeForce RTX 4080,16,512,SSD,13.6,2560x1664,3.03,Linux,4.1,171,,2026-06-15,synthetic
"Lenovo ThinkPad E14, mit 13.3 Zoll Display, AMD Ryzen 7 7735U Prozessor, 32 GB RAM, 256 GB SSD, AMD Radeon RX 7600M, Linux",Lenovo,1589.02,AMD Ryzen 7 7735U,AMD Radeon RX 7600M,32,256,SSD,13.3,1920x1080,1.78,Linux,3.8,486,,2026-06-15,synthetic
"Samsung Galaxy Book3 360, mit 16.0 Zoll Display, Intel Core Ultra 9 185H Prozessor, 24 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Home",Samsung,2033.79,Intel Core Ultra 9 185H,NVIDIA GeForce RTX 4060,24,512,SSD,16.0,2560x1600,2.89,Windows 11 Home,5.0,290,,2026-06-15,synthetic
"Dell Latitude 5540, mit 14.2 Zoll Display, AMD Ryzen 3 7320U Prozessor, 64 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home",Dell,1378.63,AMD Ryzen 3 7320U,Intel UHD Graphics,64,256,SSD,14.2,3024x1964,0.99,Windows 11 Home,4.5,358,,2026-06-15,synthetic
"LG gram 17, mit 14.0 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 4 GB RAM, 512 GB SSD, AMD Radeon RX 6600M, Windows 11 Home",LG,1314.74,AMD Ryzen 5 7535HS,AMD Radeon RX 6600M,4,512,SSD,14.0,1920x1080,1.74,Windows 11 Home,3.9,685,,2026-06-15,synthetic
"Acer Aspire 5, mit 17.3 Zoll Display, Intel Core Ultra 9 185H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Pro",Acer,1922.36,Intel Core Ultra 9 185H,NVIDIA GeForce RTX 4070,16,512,SSD,17.3,1920x1080,1.19,Windows 11 Pro,4.3,393,,2026-06-15,synthetic
"HP Omen 16, mit 15.6 Zoll Display, Intel Core i3-1215U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",HP,1177.37,Intel Core i3-1215U,NVIDIA GeForce RTX 3060,16,512,SSD,15.6,1920x1080,1.97,Windows 11 Home,4.3,223,,2026-06-15,synthetic
"Samsung Galaxy Book3 Pro, mit 14.0 Zoll Display, Intel Core i5-1335U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",Samsung,1267.67,Intel Core i5-1335U,NVIDIA GeForce RTX 3060,16,512,SSD,14.0,1920x1080,2.45,Windows 11 Home,4.1,208,,2026-06-15,synthetic
"HP EliteBook 840, mit 16.0 Zoll Display, Intel Core i5-1335U Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",HP,1664.34,Intel Core i5-1335U,NVIDIA GeForce RTX 4070,16,256,SSD,16.0,2560x1600,2.04,Windows 11 Home,4.1,676,,2026-06-15,synthetic
"Microsoft Surface Laptop Studio 2, mit 11.6 Zoll Display, AMD Ryzen 7 7735U Prozessor, 64 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",Microsoft,1861.39,AMD Ryzen 7 7735U,NVIDIA GeForce RTX 3050,64,512,SSD,11.6,1366x768,2.18,Windows 11 Home,4.9,129,,2026-06-15,synthetic
"Dell Inspiron 15, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 24 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",Dell,1410.01,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 4070,24,512,SSD,17.3,1920x1080,2.96,Windows 11 Home,4.7,491,,2026-06-15,synthetic
"HP EliteBook 840, mit 16.0 Zoll Display, Intel Core Ultra 7 155H Prozessor, 16 GB RAM, 256 GB SSD, AMD Radeon RX 7600M, Windows 11 Home",HP,1489.45,Intel Core Ultra 7 155H,AMD Radeon RX 7600M,16,256,SSD,16.0,2560x1600,1.44,Windows 11 Home,4.2,558,,2026-06-15,synthetic
"HP Omen 16, mit 15.6 Zoll Display, Intel Core i9-13900H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",HP,1843.25,Intel Core i9-13900H,NVIDIA GeForce RTX 3060,16,512,SSD,15.6,1920x1080,1.38,Windows 11 Home,4.3,793,,2026-06-15,synthetic
"Lenovo Legion 5, mit 16.0 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",Lenovo,1742.9,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 4070,16,1024,SSD,16.0,2560x1600,2.14,Windows 11 Home,4.7,824,,2026-06-15,synthetic
"Dell Alienware m16, mit 16.0 Zoll Display, AMD Ryzen 7 7735U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Home",Dell,1714.93,AMD Ryzen 7 7735U,NVIDIA GeForce RTX 4070,16,512,SSD,16.0,2560x1600,2.57,Windows 11 Home,4.8,135,,2026-06-15,synthetic
"Samsung Galaxy Book3 360, mit 11.6 Zoll Display, Intel Core i3-1215U Prozessor, 8 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home",Samsung,796.67,Intel Core i3-1215U,Intel Iris Xe Graphics,8,512,SSD,11.6,1366x768,1.5,Windows 11 Home,4.2,470,,2026-06-15,synthetic
"Microsoft Surface Laptop 5, mit 11.6 Zoll Display, AMD Ryzen 7 7735U Prozessor, 16 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Pro",Microsoft,1734.68,AMD Ryzen 7 7735U,NVIDIA GeForce RTX 3060,16,1024,SSD,11.6,1366x768,3.2,Windows 11 Pro,4.2,670,,2026-06-15,synthetic
"Asus ExpertBook B9, mit 17.3 Zoll Display, Intel Core Ultra 5 125H Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Pro",Asus,1404.67,Intel Core Ultra 5 125H,NVIDIA GeForce RTX 3050,16,256,SSD,17.3,1920x1080,2.44,Windows 11 Pro,4.5,228,,2026-06-15,synthetic
"Apple MacBook Pro 16"", mit 14.2 Zoll Display, Apple M3 Max Prozessor, 32 GB RAM, 256 GB SSD, Apple GPU (10-core), macOS",Apple,1809.97,Apple M3 Max,Apple GPU (10-core),32,256,SSD,14.2,3024x1964,1.15,macOS,3.8,324,,2026-06-15,synthetic
"Acer Predator Helios 16, mit 13.3 Zoll Display, Intel Core Ultra 5 125H Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Pro",Acer,1159.54,Intel Core Ultra 5 125H,Intel Iris Xe Graphics,16,512,SSD,13.3,1920x1080,2.73,Windows 11 Pro,4.5,47,,2026-06-15,synthetic
"Acer Aspire 5, mit 15.6 Zoll Display, AMD Ryzen 3 7320U Prozessor, 32 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Pro",Acer,971.72,AMD Ryzen 3 7320U,Intel UHD Graphics,32,256,SSD,15.6,1920x1080,2.36,Windows 11 Pro,4.8,729,,2026-06-15,synthetic
"Acer Predator Helios 16, mit 16.0 Zoll Display, Intel Core Ultra 7 155H Prozessor, 32 GB RAM, 512 GB SSD, AMD Radeon RX 7600M, Windows 11 Home",Acer,2000.89,Intel Core Ultra 7 155H,AMD Radeon RX 7600M,32,512,SSD,16.0,2560x1600,2.86,Windows 11 Home,4.8,93,,2026-06-15,synthetic
"HP Omen 16, mit 14.0 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 32 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 4050, Windows 11 Home",HP,1638.47,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 4050,32,256,SSD,14.0,1920x1080,1.72,Windows 11 Home,4.1,291,,2026-06-15,synthetic
"HP Spectre x360, mit 15.6 Zoll Display, Intel Core i9-13900H Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",HP,1782.06,Intel Core i9-13900H,NVIDIA GeForce RTX 3060,16,512,SSD,15.6,1920x1080,2.49,Windows 11 Home,4.6,507,,2026-06-15,synthetic
"Lenovo IdeaPad 5, mit 15.6 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",Lenovo,1337.07,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 3050,16,512,SSD,15.6,1920x1080,1.88,Windows 11 Home,4.7,343,,2026-06-15,synthetic
"HP Omen 16, mit 13.6 Zoll Display, Intel Core Ultra 5 125H Prozessor, 16 GB RAM, 1024 GB SSD, Intel Iris Xe Graphics, Windows 11 Pro",HP,1342.83,Intel Core Ultra 5 125H,Intel Iris Xe Graphics,16,1024,SSD,13.6,2560x1664,1.34,Windows 11 Pro,4.7,288,,2026-06-15,synthetic
"Dell Latitude 5540, mit 13.6 Zoll Display, Intel Core i7-1255U Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",Dell,1440.15,Intel Core i7-1255U,NVIDIA GeForce RTX 3050,16,256,SSD,13.6,2560x1664,1.53,Windows 11 Home,5.0,571,,2026-06-15,synthetic
"Lenovo ThinkPad X1 Carbon, mit 13.6 Zoll Display, Intel Core i7-1255U Prozessor, 16 GB RAM, 512 GB SSD, Intel UHD Graphics, Windows 11 Home",Lenovo,1211.97,Intel Core i7-1255U,Intel UHD Graphics,16,512,SSD,13.6,2560x1664,3.12,Windows 11 Home,4.1,494,,2026-06-15,synthetic
"Dell Alienware m16, mit 14.0 Zoll Display, Intel Core i5-1235U Prozessor, 16 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home",Dell,1145.73,Intel Core i5-1235U,AMD Radeon Graphics,16,256,SSD,14.0,1920x1080,1.17,Windows 11 Home,4.7,625,,2026-06-15,synthetic
"HP EliteBook 840, mit 16.0 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Linux",HP,1706.54,AMD Ryzen 5 7535HS,NVIDIA GeForce RTX 4070,16,512,SSD,16.0,2560x1600,1.6,Linux,4.5,629,,2026-06-15,synthetic
"HP ENVY 15, mit 15.6 Zoll Display, Intel Core Ultra 7 155H Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home",HP,1389.46,Intel Core Ultra 7 155H,NVIDIA GeForce RTX 3060,16,256,SSD,15.6,1920x1080,1.84,Windows 11 Home,4.6,486,,2026-06-15,synthetic
"HP ProBook 450, mit 14.0 Zoll Display, AMD Ryzen 7 7745HX Prozessor, 64 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Pro",HP,2346.47,AMD Ryzen 7 7745HX,NVIDIA GeForce RTX 3060,64,1024,SSD,14.0,1920x1080,1.88,Windows 11 Pro,4.5,668,,2026-06-15,synthetic
"Apple MacBook Pro 14"", mit 16.0 Zoll Display, Apple M2 Prozessor, 32 GB RAM, 512 GB SSD, Apple GPU (10-core), macOS",Apple,1784.64,Apple M2,Apple GPU (10-core),32,512,SSD,16.0,2560x1600,3.02,macOS,4.3,484,,2026-06-15,synthetic
"MSI Stealth 16, mit 16.0 Zoll Display, AMD Ryzen 9 7945HX Prozessor, 8 GB RAM, 512 GB SSD, AMD Radeon RX 7600M, Windows 11 Home",MSI,1853.43,AMD Ryzen 9 7945HX,AMD Radeon RX 7600M,8,512,SSD,16.0,2560x1600,2.29,Windows 11 Home,3.8,239,,2026-06-15,synthetic
"Acer ConceptD 5, mit 13.6 Zoll Display, Intel Core i5-1235U Prozessor, 16 GB RAM, 1024 GB SSD, AMD Radeon Graphics, Windows 11 Home",Acer,1196.02,Intel Core i5-1235U,AMD Radeon Graphics,16,1024,SSD,13.6,2560x1664,3.19,Windows 11 Home,4.3,838,,2026-06-15,synthetic
"Dell Alienware m16, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 32 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4050, Windows 11 Pro",Dell,1308.77,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 4050,32,512,SSD,17.3,1920x1080,1.56,Windows 11 Pro,4.9,838,,2026-06-15,synthetic
"Lenovo ThinkPad X1 Carbon, mit 11.6 Zoll Display, AMD Ryzen 3 7320U Prozessor, 16 GB RAM, 512 GB SSD, Intel Iris Xe Graphics, Ohne OS",Lenovo,800.14,AMD Ryzen 3 7320U,Intel Iris Xe Graphics,16,512,SSD,11.6,1366x768,2.41,Ohne OS,4.5,428,,2026-06-15,synthetic
"HP Omen 16, mit 17.3 Zoll Display, AMD Ryzen 7 7745HX Prozessor, 24 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Home",HP,1700.47,AMD Ryzen 7 7745HX,NVIDIA GeForce RTX 3050,24,1024,SSD,17.3,1920x1080,2.93,Windows 11 Home,4.4,34,,2026-06-15,synthetic
"Acer ConceptD 5, mit 13.3 Zoll Display, Intel Core i3-1215U Prozessor, 8 GB RAM, 1024 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",Acer,1428.92,Intel Core i3-1215U,NVIDIA GeForce RTX 4080,8,1024,SSD,13.3,1920x1080,1.96,Windows 11 Home,3.9,162,,2026-06-15,synthetic
"HP ProBook 450, mit 16.0 Zoll Display, AMD Ryzen 7 7735U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Ohne OS",HP,1806.12,AMD Ryzen 7 7735U,NVIDIA GeForce RTX 4070,16,512,SSD,16.0,2560x1600,1.34,Ohne OS,4.5,769,,2026-06-15,synthetic
"HP ENVY 15, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 4 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4080, Windows 11 Home",HP,1225.17,AMD Ryzen 3 7320U,NVIDIA GeForce RTX 4080,4,512,SSD,17.3,1920x1080,2.89,Windows 11 Home,4.3,500,,2026-06-15,synthetic
"Apple MacBook Pro 16"", mit 13.6 Zoll Display, Apple M3 Pro Prozessor, 32 GB RAM, 2048 GB SSD, Apple GPU (18-core), macOS",Apple,1760.47,Apple M3 Pro,Apple GPU (18-core),32,2048,SSD,13.6,2560x1664,2.22,macOS,4.1,799,,2026-06-15,synthetic
"Acer Swift 3, mit 11.6 Zoll Display, AMD Ryzen 5 7535HS Prozessor, 16 GB RAM, 256 GB SSD, AMD Radeon RX 7600M, Windows 11 Pro",Acer,1476.69,AMD Ryzen 5 7535HS,AMD Radeon RX 7600M,16,256,SSD,11.6,1366x768,1.19,Windows 11 Pro,5.0,344,,2026-06-15,synthetic
"Dell Latitude 5540, mit 13.6 Zoll Display, AMD Ryzen 7 7745HX Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050, Windows 11 Pro",Dell,1477.45,AMD Ryzen 7 7745HX,NVIDIA GeForce RTX 3050,16,512,SSD,13.6,2560x1664,1.07,Windows 11 Pro,4.7,276,,2026-06-15,synthetic
"Dell XPS 15, mit 17.3 Zoll Display, AMD Ryzen 3 7320U Prozessor, 16 GB RAM, 512 GB SSD, AMD Radeon RX 7600M, Linux",Dell,1351.75,AMD Ryzen 3 7320U,AMD Radeon RX 7600M,16,512,SSD,17.3,1920x1080,2.91,Linux,3.8,75,,2026-06-15,synthetic
"Samsung Galaxy Book3 Pro, mit 13.3 Zoll Display, Intel Core i5-1335U Prozessor, 24 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4060, Ohne OS",Samsung,1538.79,Intel Core i5-1335U,NVIDIA GeForce RTX 4060,24,512,SSD,13.3,1920x1080,1.92,Ohne OS,4.6,34,,2026-06-15,synthetic
"Lenovo Legion 5, mit 13.6 Zoll Display, AMD Ryzen 5 7530U Prozessor, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Home",Lenovo,1477.19,AMD Ryzen 5 7530U,NVIDIA GeForce RTX 4060,16,512,SSD,13.6,2560x1664,1.29,Windows 11 Home,3.9,396,,2026-06-15,synthetic
"Dell Alienware m16, mit 11.6 Zoll Display, Intel Core i7-1355U Prozessor, 16 GB RAM, 256 GB SSD, NVIDIA GeForce RTX 4060, Windows 11 Home",Dell,1464.07,Intel Core i7-1355U,NVIDIA GeForce RTX 4060,16,256,SSD,11.6,1366x768,2.97,Windows 11 Home,4.4,299,,2026-06-15,synthetic
"Dell Alienware m16, mit 16.0 Zoll Display, Intel Core Ultra 9 185H Prozessor, 16 GB RAM, 256 GB SSD, AMD Radeon RX 6600M, Windows 11 Pro",Dell,1643.42,Intel Core Ultra 9 185H,AMD Radeon RX 6600M,16,256,SSD,16.0,2560x1600,2.86,Windows 11 Pro,3.9,395,,2026-06-15,synthetic
"HP ProBook 450, mit 11.6 Zoll Display, Intel Core i3-1215U Prozessor, 4 GB RAM, 1024 GB SSD, AMD Radeon RX 7600M, Windows 11 Home",HP,1108.78,Intel Core i3-1215U,AMD Radeon RX 7600M,4,1024,SSD,11.6,1366x768,2.99,Windows 11 Home,4.7,298,,2026-06-15,synthetic
"HP EliteBook 840, mit 15.6 Zoll Display, Intel Core i9-13900H Prozessor, 32 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 4070, Windows 11 Pro",HP,1914.97,Intel Core i9-13900H,NVIDIA GeForce RTX 4070,32,512,SSD,15.6,1920x1080,2.34,Windows 11 Pro,4.9,666,,2026-06-15,synthetic
"Dell Alienware m16, mit 13.6 Zoll Display, AMD Ryzen 5 7530U Prozessor, 16 GB RAM, 1024 GB SSD, AMD Radeon Graphics, Windows 11 Home",Dell,1125.48,AMD Ryzen 5 7530U,AMD Radeon Graphics,16,1024,SSD,13.6,2560x1664,1.36,Windows 11 Home,4.7,379,,2026-06-15,synthetic
